Title,Author,Category,Year,Rating
To Kill a Mockingbird,Harper Lee,Fiction,1960,4.37
1984,George Orwell,Dystopian,1949,4.95
Pride and Prejudice,Jane Austen,Romance,1813,4.73
The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,4.6
Moby-Dick,Herman Melville,Adventure,1851,4.16
War and Peace,Leo Tolstoy,Historical Fiction,1869,4.16
The Catcher in the Rye,J.D. Salinger,Fiction,1951,4.06
The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,4.87
Jane Eyre,Charlotte Brontë,Gothic Fiction,1847,4.6
Crime and Punishment,Fyodor Dostoevsky,Psychological Fiction,1866,4.71
Brave New World,Aldous Huxley,Dystopian,1932,4.02
Wuthering Heights,Emily Brontë,Gothic Fiction,1847,4.97
The Odyssey,Homer,Epic Poetry,-800,4.83
The Iliad,Homer,Epic Poetry,-750,4.21
Great Expectations,Charles Dickens,Fiction,1861,4.18
Anna Karenina,Leo Tolstoy,Romance,1878,4.18
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,1967,4.3
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Fiction,1880,4.52
Don Quixote,Miguel de Cervantes,Satire,1605,4.43
Madame Bovary,Gustave Flaubert,Realist Fiction,1856,4.29
Ulysses,James Joyce,Modernist,1922,4.61
The Divine Comedy,Dante Alighieri,Epic Poetry,1320,4.14
The Hobbit,J.R.R. Tolkien,Fantasy,1937,4.29
Les Misérables,Victor Hugo,Historical Fiction,1862,4.37
Fahrenheit 451,Ray Bradbury,Dystopian,1953,4.46
The Stranger,Albert Camus,Philosophical Fiction,1942,4.79
Dracula,Bram Stoker,Gothic Fiction,1897,4.2
Frankenstein,Mary Shelley,Gothic Fiction,1818,4.51
The Picture of Dorian Gray,Oscar Wilde,Philosophical Fiction,1890,4.59
The Grapes of Wrath,John Steinbeck,Historical Fiction,1939,4.05
The Count of Monte Cristo,Alexandre Dumas,Adventure,1844,4.61
The Sound and the Fury,William Faulkner,Modernist,1929,4.17
Lolita,Vladimir Nabokov,Psychological Fiction,1955,4.07
Slaughterhouse-Five,Kurt Vonnegut,Science Fiction,1969,4.95
The Sun Also Rises,Ernest Hemingway,Fiction,1926,4.97
Beloved,Toni Morrison,Historical Fiction,1987,4.81
The Master and Margarita,Mikhail Bulgakov,Magical Realism,1967,4.3
Middlemarch,George Eliot,Realist Fiction,1871,4.1
A Tale of Two Cities,Charles Dickens,Historical Fiction,1859,4.68
The Trial,Franz Kafka,Dystopian,1925,4.44
Catch-22,Joseph Heller,Satire,1961,4.12
The Old Man and the Sea,Ernest Hemingway,Fiction,1952,4.5
Rebecca,Daphne du Maurier,Gothic Fiction,1938,4.03
Dune,Frank Herbert,Science Fiction,1965,4.91
A Clockwork Orange,Anthony Burgess,Dystopian,1962,4.26
The Scarlet Letter,Nathaniel Hawthorne,Historical Fiction,1850,4.66
Gulliver’s Travels,Jonathan Swift,Satire,1726,4.31
The Canterbury Tales,Geoffrey Chaucer,Poetry,1400,4.52
Persuasion,Jane Austen,Romance,1817,4.55
Alice’s Adventures in Wonderland,Lewis Carroll,Fantasy,1865,4.18
The Handmaid’s Tale,Margaret Atwood,Dystopian,1985,4.97
The Metamorphosis,Franz Kafka,Absurdist Fiction,1915,4.78
